epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,6403.54,1.92465,3.99021,0.35026,1.79835,0.01005,6.11586,0.60853,0.48603,0.50551,0.23178,0.57735,0.42096,0.40824,0.23631,2.01306,4.23662,0.31117,1.84664,0.01053,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6536.33,1.92218,3.9816,0.35191,1.76045,0.00992,6.06817,0.61404,0.47817,0.50013,0.22913,0.57658,0.4179,0.40995,0.23561,2.02184,4.24215,0.31077,1.83034,0.01045,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6669.04,1.93742,3.95614,0.35077,1.78157,0.01008,6.08647,0.62452,0.47904,0.5057,0.23342,0.59301,0.42885,0.41611,0.23988,2.01932,4.21071,0.31416,1.81546,0.01049,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6801.46,1.93459,3.98783,0.35307,1.78209,0.01008,6.06508,0.62348,0.47218,0.50626,0.23342,0.57534,0.42445,0.41375,0.24268,2.00738,4.16675,0.3085,1.81243,0.01036,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6934.11,1.91877,3.90157,0.34925,1.74393,0.01003,5.95808,0.61951,0.47565,0.50814,0.23579,0.57446,0.42489,0.42249,0.2487,2.00286,4.16382,0.30786,1.83473,0.01033,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7066.58,1.91578,3.84752,0.352,1.75264,0.00995,5.87696,0.61625,0.48737,0.50918,0.2357,0.59674,0.43013,0.42717,0.24703,1.99759,4.1536,0.30865,1.82271,0.01036,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7199.12,1.92017,3.90664,0.3505,1.73909,0.01009,5.98398,0.61625,0.48908,0.51654,0.23882,0.59936,0.43624,0.42797,0.24843,2.0043,4.14965,0.30828,1.80667,0.01039,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7331.55,1.91418,3.77401,0.34956,1.7251,0.00992,5.68564,0.60095,0.47875,0.50668,0.2356,0.60356,0.42096,0.41931,0.2451,1.99802,4.13839,0.30944,1.81965,0.01022,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7464,1.90458,3.80395,0.35392,1.7372,0.00993,5.76076,0.62052,0.48628,0.51452,0.23969,0.60771,0.42956,0.43236,0.25085,1.99904,4.12887,0.30814,1.81346,0.0102,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7596.43,1.91168,3.77663,0.34878,1.70398,0.00999,5.73817,0.62689,0.48428,0.51686,0.24196,0.60272,0.43593,0.43369,0.25521,2.00032,4.11093,0.30827,1.80689,0.01023,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7729.16,1.9013,3.73102,0.34518,1.69022,0.00988,5.68709,0.6173,0.49258,0.51949,0.24237,0.60489,0.45022,0.43879,0.2572,1.9876,4.09283,0.30706,1.79364,0.0102,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7861.59,1.90086,3.76228,0.34783,1.71642,0.00989,5.79282,0.63053,0.49956,0.52354,0.24326,0.6042,0.4441,0.43528,0.25461,1.97658,4.05806,0.30586,1.79625,0.01019,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7994.34,1.90475,3.68804,0.3481,1.69433,0.00987,5.59255,0.62687,0.50253,0.52544,0.24458,0.58794,0.45484,0.43719,0.25581,1.98636,4.02098,0.30753,1.79193,0.01019,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8126.86,1.89167,3.67797,0.34299,1.68739,0.00972,5.55732,0.62947,0.49825,0.52692,0.24477,0.60228,0.45284,0.44744,0.26261,1.99402,3.97635,0.30717,1.78017,0.01026,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8259.55,1.86997,3.61102,0.34417,1.66763,0.00965,5.49965,0.63379,0.49345,0.52432,0.24492,0.61363,0.44629,0.44443,0.26179,1.99068,3.92984,0.30737,1.77701,0.01022,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8392.18,1.89407,3.63303,0.3452,1.67605,0.00968,5.47654,0.63932,0.50131,0.52963,0.24928,0.60966,0.44629,0.44674,0.26514,1.9812,3.95647,0.30709,1.76585,0.01007,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8524.37,1.87998,3.55742,0.34769,1.67324,0.00967,5.41745,0.63483,0.50393,0.52945,0.24839,0.60932,0.45153,0.44306,0.26349,1.97471,3.96558,0.30651,1.7658,0.00999,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8656.73,1.88364,3.56791,0.34608,1.6517,0.00959,5.44882,0.63868,0.50096,0.5339,0.24924,0.60735,0.44917,0.4488,0.26614,1.97478,3.9593,0.30722,1.7601,0.00995,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8789.64,1.87621,3.56262,0.34484,1.6344,0.00967,5.44231,0.6357,0.50597,0.53719,0.24995,0.61359,0.46113,0.45971,0.27255,1.9794,3.91664,0.30724,1.75412,0.00996,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8922.18,1.87094,3.53944,0.34259,1.62941,0.00943,5.30835,0.6427,0.50192,0.53727,0.25146,0.61849,0.4552,0.45881,0.27223,1.97922,3.89812,0.30782,1.75374,0.01,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9054.89,1.87255,3.48366,0.34023,1.61711,0.00939,5.21221,0.64273,0.502,0.53543,0.24942,0.61168,0.45743,0.45608,0.27292,1.97446,3.89189,0.30612,1.75035,0.01,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9187.72,1.85442,3.4574,0.33974,1.61452,0.00949,5.1914,0.63804,0.51112,0.54038,0.25208,0.60956,0.46419,0.46098,0.2763,1.97145,3.87988,0.30591,1.74063,0.00997,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9320.48,1.86051,3.41084,0.33981,1.62142,0.00952,5.10383,0.65136,0.50583,0.54059,0.25108,0.61453,0.45878,0.46346,0.27608,1.96598,3.86936,0.30553,1.7384,0.00998,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9452.99,1.84992,3.40091,0.33978,1.6107,0.0094,5.18389,0.63805,0.5131,0.54457,0.25295,0.62042,0.46638,0.4664,0.27637,1.96815,3.86173,0.30465,1.72796,0.01001,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9585.43,1.84867,3.3828,0.34203,1.60439,0.00941,5.07965,0.64401,0.51179,0.54468,0.2535,0.63217,0.46245,0.46966,0.27851,1.96762,3.85037,0.30474,1.72658,0.01002,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9717.92,1.86584,3.38662,0.34004,1.60084,0.00932,4.98468,0.654,0.50568,0.54414,0.25527,0.63478,0.46856,0.47355,0.27859,1.96264,3.84199,0.30498,1.72524,0.00995,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9850.87,1.83322,3.31511,0.33852,1.58954,0.00938,5.00335,0.65836,0.50611,0.54429,0.25551,0.6336,0.46638,0.4767,0.28017,1.9599,3.84089,0.30519,1.72441,0.00996,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
