epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,11914.6,1.78378,3.08397,0.33294,1.48222,0.00901,4.69423,0.66532,0.53388,0.56874,0.2766,0.67473,0.49278,0.51836,0.32347,1.90504,3.50491,0.30089,1.66694,0.00959,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12094.5,1.77268,3.0466,0.331,1.4842,0.00881,4.60189,0.65883,0.53406,0.56942,0.27698,0.66071,0.50699,0.52064,0.32138,1.90062,3.52499,0.30006,1.65429,0.00955,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12274.5,1.7813,2.99209,0.3293,1.48013,0.00885,4.53105,0.67058,0.53493,0.56851,0.2769,0.65873,0.50349,0.51675,0.32142,1.90074,3.52393,0.30035,1.65701,0.00953,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12454.5,1.76005,2.97013,0.32761,1.451,0.00883,4.46046,0.67305,0.53319,0.57097,0.27701,0.66413,0.51135,0.52108,0.32328,1.9065,3.52751,0.30028,1.65449,0.00952,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12634.7,1.76968,2.94945,0.32894,1.45242,0.00886,4.40842,0.66873,0.53509,0.57091,0.27757,0.65883,0.51179,0.52437,0.32588,1.91124,3.50436,0.29994,1.64772,0.0095,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12814.9,1.75354,2.94668,0.32785,1.44986,0.00876,4.44485,0.67251,0.53493,0.57707,0.28017,0.66302,0.51551,0.5267,0.3277,1.89792,3.49015,0.30043,1.64503,0.00946,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12995.1,1.7526,2.88927,0.32863,1.43207,0.00878,4.28897,0.67824,0.53144,0.57922,0.2807,0.67425,0.50786,0.52581,0.32811,1.90147,3.49148,0.29972,1.63689,0.00948,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13175.1,1.76229,2.89253,0.32778,1.42647,0.00866,4.21014,0.67062,0.53968,0.57997,0.2815,0.67088,0.5048,0.52465,0.32718,1.89947,3.5042,0.29905,1.63048,0.00954,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13355.3,1.74232,2.82267,0.32518,1.41491,0.00868,4.1838,0.67344,0.53406,0.57998,0.28168,0.66256,0.51135,0.52687,0.3294,1.90172,3.4665,0.29975,1.62878,0.00957,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13535.2,1.74042,2.79639,0.32422,1.40236,0.00858,4.12423,0.6658,0.54105,0.58177,0.28217,0.65401,0.51441,0.52845,0.32979,1.89826,3.45427,0.29938,1.63216,0.00957,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13714.9,1.74195,2.79876,0.32659,1.40188,0.00863,4.08669,0.66971,0.53712,0.58196,0.28253,0.66157,0.51354,0.53294,0.33176,1.89846,3.45084,0.29865,1.63699,0.00957,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13895.1,1.7358,2.76679,0.32621,1.37772,0.00859,4.04249,0.67928,0.53537,0.58309,0.28429,0.67031,0.51485,0.5367,0.33504,1.89764,3.41963,0.29906,1.6396,0.00948,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14075.1,1.72443,2.75103,0.32394,1.38214,0.00843,3.96918,0.68533,0.53493,0.58596,0.287,0.67393,0.5214,0.5401,0.3377,1.89979,3.41028,0.2995,1.63537,0.00945,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
